system:index,Bins,Date,Index_Type,Week_Label,.geo
10,"[{Mean_NDSI=-9999, Elevation Range=633.0-683.0}, {Mean_NDSI=0.7856917977333069, Elevation Range=683.0-733.0}, {Mean_NDSI=0.7856917977333069, Elevation Range=733.0-783.0}, {Mean_NDSI=0.7856917977333069, Elevation Range=783.0-833.0}, {Mean_NDSI=0.7856917977333069, Elevation Range=833.0-883.0}, {Mean_NDSI=-9999, Elevation Range=883.0-933.0}, {Mean_NDSI=-9999, Elevation Range=933.0-983.0}, {Mean_NDSI=-9999, Elevation Range=983.0-1033.0}, {Mean_NDSI=-9999, Elevation Range=1033.0-1083.0}, {Mean_NDSI=-9999, Elevation Range=1083.0-1133.0}, {Mean_NDSI=-9999, Elevation Range=1133.0-1183.0}, {Mean_NDSI=-9999, Elevation Range=1183.0-1233.0}, {Mean_NDSI=-9999, Elevation Range=1233.0-1283.0}, {Mean_NDSI=-9999, Elevation Range=1283.0-1333.0}, {Mean_NDSI=-9999, Elevation Range=1333.0-1383.0}, {Mean_NDSI=-9999, Elevation Range=1383.0-1433.0}]",2020-03-11,NDSI,Week 11: Mar 11 – Mar 17,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[{Mean_NDSI=-9999, Elevation Range=633.0-683.0}, {Mean_NDSI=0.7834253907203674, Elevation Range=683.0-733.0}, {Mean_NDSI=0.7834253907203674, Elevation Range=733.0-783.0}, {Mean_NDSI=0.7834253907203674, Elevation Range=783.0-833.0}, {Mean_NDSI=0.7834253907203674, Elevation Range=833.0-883.0}, {Mean_NDSI=-9999, Elevation Range=883.0-933.0}, {Mean_NDSI=-9999, Elevation Range=933.0-983.0}, {Mean_NDSI=-9999, Elevation Range=983.0-1033.0}, {Mean_NDSI=-9999, Elevation Range=1033.0-1083.0}, {Mean_NDSI=-9999, Elevation Range=1083.0-1133.0}, {Mean_NDSI=-9999, Elevation Range=1133.0-1183.0}, {Mean_NDSI=-9999, Elevation Range=1183.0-1233.0}, {Mean_NDSI=-9999, Elevation Range=1233.0-1283.0}, {Mean_NDSI=-9999, Elevation Range=1283.0-1333.0}, {Mean_NDSI=-9999, Elevation Range=1333.0-1383.0}, {Mean_NDSI=-9999, Elevation Range=1383.0-1433.0}]",2020-03-18,NDSI,Week 12: Mar 18 – Mar 24,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[{Mean_NDSI=-9999, Elevation Range=633.0-683.0}, {Mean_NDSI=0.7799588441848755, Elevation Range=683.0-733.0}, {Mean_NDSI=0.7799588441848755, Elevation Range=733.0-783.0}, {Mean_NDSI=0.7799588441848755, Elevation Range=783.0-833.0}, {Mean_NDSI=0.7799588441848755, Elevation Range=833.0-883.0}, {Mean_NDSI=-9999, Elevation Range=883.0-933.0}, {Mean_NDSI=-9999, Elevation Range=933.0-983.0}, {Mean_NDSI=-9999, Elevation Range=983.0-1033.0}, {Mean_NDSI=-9999, Elevation Range=1033.0-1083.0}, {Mean_NDSI=-9999, Elevation Range=1083.0-1133.0}, {Mean_NDSI=-9999, Elevation Range=1133.0-1183.0}, {Mean_NDSI=-9999, Elevation Range=1183.0-1233.0}, {Mean_NDSI=-9999, Elevation Range=1233.0-1283.0}, {Mean_NDSI=-9999, Elevation Range=1283.0-1333.0}, {Mean_NDSI=-9999, Elevation Range=1333.0-1383.0}, {Mean_NDSI=-9999, Elevation Range=1383.0-1433.0}]",2020-03-25,NDSI,Week 13: Mar 25 – Mar 31,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[{Mean_NDSI=0.6872480867455721, Elevation Range=633.0-683.0}, {Mean_NDSI=0.8031042425256026, Elevation Range=683.0-733.0}, {Mean_NDSI=0.7466578235488912, Elevation Range=733.0-783.0}, {Mean_NDSI=0.7359236787695329, Elevation Range=783.0-833.0}, {Mean_NDSI=0.8205971135751702, Elevation Range=833.0-883.0}, {Mean_NDSI=0.8496256899620805, Elevation Range=883.0-933.0}, {Mean_NDSI=0.8664207734901053, Elevation Range=933.0-983.0}, {Mean_NDSI=0.8609416046563316, Elevation Range=983.0-1033.0}, {Mean_NDSI=0.8318378404105381, Elevation Range=1033.0-1083.0}, {Mean_NDSI=0.7675316323918745, Elevation Range=1083.0-1133.0}, {Mean_NDSI=0.7270520925521851, Elevation Range=1133.0-1183.0}, {Mean_NDSI=0.7270520925521851, Elevation Range=1183.0-1233.0}, {Mean_NDSI=-9999, Elevation Range=1233.0-1283.0}, {Mean_NDSI=-9999, Elevation Range=1283.0-1333.0}, {Mean_NDSI=-9999, Elevation Range=1333.0-1383.0}, {Mean_NDSI=-9999, Elevation Range=1383.0-1433.0}]",2020-04-01,NDSI,Week 14: Apr 01 – Apr 07,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[{Mean_NDSI=0.8018093117655967, Elevation Range=633.0-683.0}, {Mean_NDSI=0.7915937648163186, Elevation Range=683.0-733.0}, {Mean_NDSI=0.7544178039868279, Elevation Range=733.0-783.0}, {Mean_NDSI=0.7259016726285473, Elevation Range=783.0-833.0}, {Mean_NDSI=0.8213154020702221, Elevation Range=833.0-883.0}, {Mean_NDSI=0.8511579047356334, Elevation Range=883.0-933.0}, {Mean_NDSI=0.8682584819707229, Elevation Range=933.0-983.0}, {Mean_NDSI=0.863451872191398, Elevation Range=983.0-1033.0}, {Mean_NDSI=0.8344587970089603, Elevation Range=1033.0-1083.0}, {Mean_NDSI=0.7703114698741061, Elevation Range=1083.0-1133.0}, {Mean_NDSI=0.7297627925872803, Elevation Range=1133.0-1183.0}, {Mean_NDSI=0.7297627925872803, Elevation Range=1183.0-1233.0}, {Mean_NDSI=-9999, Elevation Range=1233.0-1283.0}, {Mean_NDSI=-9999, Elevation Range=1283.0-1333.0}, {Mean_NDSI=-9999, Elevation Range=1333.0-1383.0}, {Mean_NDSI=-9999, Elevation Range=1383.0-1433.0}]",2020-04-08,NDSI,Week 15: Apr 08 – Apr 14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[{Mean_NDSI=0.8896837525777084, Elevation Range=633.0-683.0}, {Mean_NDSI=0.8954328569191403, Elevation Range=683.0-733.0}, {Mean_NDSI=0.8460309518652294, Elevation Range=733.0-783.0}, {Mean_NDSI=0.798887685384778, Elevation Range=783.0-833.0}, {Mean_NDSI=0.8235478974203344, Elevation Range=833.0-883.0}, {Mean_NDSI=0.8412444210267281, Elevation Range=883.0-933.0}, {Mean_NDSI=0.844030884022896, Elevation Range=933.0-983.0}, {Mean_NDSI=0.8342111396341927, Elevation Range=983.0-1033.0}, {Mean_NDSI=0.8225531795503457, Elevation Range=1033.0-1083.0}, {Mean_NDSI=0.8200536100360024, Elevation Range=1083.0-1133.0}, {Mean_NDSI=0.8292298509228614, Elevation Range=1133.0-1183.0}, {Mean_NDSI=0.8575465654203405, Elevation Range=1183.0-1233.0}, {Mean_NDSI=0.865948600406096, Elevation Range=1233.0-1283.0}, {Mean_NDSI=0.8692686616187804, Elevation Range=1283.0-1333.0}, {Mean_NDSI=0.8697716203490251, Elevation Range=1333.0-1383.0}, {Mean_NDSI=0.8702272900971033, Elevation Range=1383.0-1433.0}]",2020-04-15,NDSI,Week 16: Apr 15 – Apr 21,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[{Mean_NDSI=0.8595963945995825, Elevation Range=633.0-683.0}, {Mean_NDSI=0.9195463902059696, Elevation Range=683.0-733.0}, {Mean_NDSI=0.8954087288164702, Elevation Range=733.0-783.0}, {Mean_NDSI=0.8021439479192776, Elevation Range=783.0-833.0}, {Mean_NDSI=0.8176689590101393, Elevation Range=833.0-883.0}, {Mean_NDSI=0.8147835022873349, Elevation Range=883.0-933.0}, {Mean_NDSI=0.8475762488014985, Elevation Range=933.0-983.0}, {Mean_NDSI=0.872155086294666, Elevation Range=983.0-1033.0}, {Mean_NDSI=0.8785658549672853, Elevation Range=1033.0-1083.0}, {Mean_NDSI=0.883157462846895, Elevation Range=1083.0-1133.0}, {Mean_NDSI=0.8826743490913863, Elevation Range=1133.0-1183.0}, {Mean_NDSI=0.8786342259572477, Elevation Range=1183.0-1233.0}, {Mean_NDSI=0.8647129581524775, Elevation Range=1233.0-1283.0}, {Mean_NDSI=0.8627036213874817, Elevation Range=1283.0-1333.0}, {Mean_NDSI=-9999, Elevation Range=1333.0-1383.0}, {Mean_NDSI=-9999, Elevation Range=1383.0-1433.0}]",2020-04-22,NDSI,Week 17: Apr 22 – Apr 28,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[{Mean_NDSI=0.8518549364394599, Elevation Range=633.0-683.0}, {Mean_NDSI=0.8531881099595788, Elevation Range=683.0-733.0}, {Mean_NDSI=0.7935717137663643, Elevation Range=733.0-783.0}, {Mean_NDSI=0.7562755576749388, Elevation Range=783.0-833.0}, {Mean_NDSI=0.8374578997169057, Elevation Range=833.0-883.0}, {Mean_NDSI=0.8403504112196853, Elevation Range=883.0-933.0}, {Mean_NDSI=0.8498306949515092, Elevation Range=933.0-983.0}, {Mean_NDSI=0.859078059022675, Elevation Range=983.0-1033.0}, {Mean_NDSI=0.8750622796674147, Elevation Range=1033.0-1083.0}, {Mean_NDSI=0.91500036350084, Elevation Range=1083.0-1133.0}, {Mean_NDSI=0.9293916865306742, Elevation Range=1133.0-1183.0}, {Mean_NDSI=0.9327723874816394, Elevation Range=1183.0-1233.0}, {Mean_NDSI=0.9487353766665739, Elevation Range=1233.0-1283.0}, {Mean_NDSI=0.9500258950062156, Elevation Range=1283.0-1333.0}, {Mean_NDSI=0.9488908052444458, Elevation Range=1333.0-1383.0}, {Mean_NDSI=0.9488908052444458, Elevation Range=1383.0-1433.0}]",2020-04-29,NDSI,Week 18: Apr 29 – May 05,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[{Mean_NDSI=0.8395197339190589, Elevation Range=633.0-683.0}, {Mean_NDSI=0.8604278776963912, Elevation Range=683.0-733.0}, {Mean_NDSI=0.8299539296869629, Elevation Range=733.0-783.0}, {Mean_NDSI=0.7893726383920255, Elevation Range=783.0-833.0}, {Mean_NDSI=0.7797294665162464, Elevation Range=833.0-883.0}, {Mean_NDSI=0.7963247017109791, Elevation Range=883.0-933.0}, {Mean_NDSI=0.8121854486887193, Elevation Range=933.0-983.0}, {Mean_NDSI=0.8290599306536153, Elevation Range=983.0-1033.0}, {Mean_NDSI=0.8455405581413464, Elevation Range=1033.0-1083.0}, {Mean_NDSI=0.8788280928550355, Elevation Range=1083.0-1133.0}, {Mean_NDSI=0.9024477269306824, Elevation Range=1133.0-1183.0}, {Mean_NDSI=0.9114925707521893, Elevation Range=1183.0-1233.0}, {Mean_NDSI=0.9258821341726515, Elevation Range=1233.0-1283.0}, {Mean_NDSI=0.8997570547803345, Elevation Range=1283.0-1333.0}, {Mean_NDSI=0.8748346994129511, Elevation Range=1333.0-1383.0}, {Mean_NDSI=0.8613239468121138, Elevation Range=1383.0-1433.0}]",2020-05-06,NDSI,Week 19: May 06 – May 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[{Mean_NDSI=0.8631705150811712, Elevation Range=633.0-683.0}, {Mean_NDSI=0.8698692838960898, Elevation Range=683.0-733.0}, {Mean_NDSI=0.8442455369975315, Elevation Range=733.0-783.0}, {Mean_NDSI=0.8093802163098603, Elevation Range=783.0-833.0}, {Mean_NDSI=0.7870553451883947, Elevation Range=833.0-883.0}, {Mean_NDSI=0.80324662218146, Elevation Range=883.0-933.0}, {Mean_NDSI=0.8236121390679887, Elevation Range=933.0-983.0}, {Mean_NDSI=0.8500751877975088, Elevation Range=983.0-1033.0}, {Mean_NDSI=0.8536263100229777, Elevation Range=1033.0-1083.0}, {Mean_NDSI=0.8548337097382278, Elevation Range=1083.0-1133.0}, {Mean_NDSI=0.8697110648870011, Elevation Range=1133.0-1183.0}, {Mean_NDSI=0.8797934745099435, Elevation Range=1183.0-1233.0}, {Mean_NDSI=0.8872698249944782, Elevation Range=1233.0-1283.0}, {Mean_NDSI=0.8832074868401816, Elevation Range=1283.0-1333.0}, {Mean_NDSI=0.8780826132064831, Elevation Range=1333.0-1383.0}, {Mean_NDSI=0.8712584933926982, Elevation Range=1383.0-1433.0}]",2020-05-13,NDSI,Week 20: May 13 – May 19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[{Mean_NDSI=0.8605727335003903, Elevation Range=633.0-683.0}, {Mean_NDSI=0.8590935549501563, Elevation Range=683.0-733.0}, {Mean_NDSI=0.8548688865577819, Elevation Range=733.0-783.0}, {Mean_NDSI=0.8266001506513736, Elevation Range=783.0-833.0}, {Mean_NDSI=0.8025994895497401, Elevation Range=833.0-883.0}, {Mean_NDSI=0.821581314150964, Elevation Range=883.0-933.0}, {Mean_NDSI=0.8259684759832957, Elevation Range=933.0-983.0}, {Mean_NDSI=0.8227848495685853, Elevation Range=983.0-1033.0}, {Mean_NDSI=0.8096830120453468, Elevation Range=1033.0-1083.0}, {Mean_NDSI=0.7957739224058858, Elevation Range=1083.0-1133.0}, {Mean_NDSI=0.8080698756422576, Elevation Range=1133.0-1183.0}, {Mean_NDSI=0.8271266181631841, Elevation Range=1183.0-1233.0}, {Mean_NDSI=0.8206537415698114, Elevation Range=1233.0-1283.0}, {Mean_NDSI=0.8219011120463526, Elevation Range=1283.0-1333.0}, {Mean_NDSI=0.8216039755051004, Elevation Range=1333.0-1383.0}, {Mean_NDSI=0.8212982044425062, Elevation Range=1383.0-1433.0}]",2020-05-20,NDSI,Week 21: May 20 – May 26,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[{Mean_NDSI=0.8438965302999187, Elevation Range=633.0-683.0}, {Mean_NDSI=0.8753455809419338, Elevation Range=683.0-733.0}, {Mean_NDSI=0.8879197096836897, Elevation Range=733.0-783.0}, {Mean_NDSI=0.8806579147046267, Elevation Range=783.0-833.0}, {Mean_NDSI=0.8696480434298842, Elevation Range=833.0-883.0}, {Mean_NDSI=0.8633679303115812, Elevation Range=883.0-933.0}, {Mean_NDSI=0.8512784799296549, Elevation Range=933.0-983.0}, {Mean_NDSI=0.847462371462801, Elevation Range=983.0-1033.0}, {Mean_NDSI=0.8543032522126192, Elevation Range=1033.0-1083.0}, {Mean_NDSI=0.8552615052499112, Elevation Range=1083.0-1133.0}, {Mean_NDSI=0.8565079712035649, Elevation Range=1133.0-1183.0}, {Mean_NDSI=0.8339480853562615, Elevation Range=1183.0-1233.0}, {Mean_NDSI=0.8223819572082073, Elevation Range=1233.0-1283.0}, {Mean_NDSI=0.8036809197072001, Elevation Range=1283.0-1333.0}, {Mean_NDSI=0.7900567359882942, Elevation Range=1333.0-1383.0}, {Mean_NDSI=0.7989396286792443, Elevation Range=1383.0-1433.0}]",2020-05-27,NDSI,Week 22: May 27 – Jun 02,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[{Mean_NDSI=0.8530297181423933, Elevation Range=633.0-683.0}, {Mean_NDSI=0.8716526441686919, Elevation Range=683.0-733.0}, {Mean_NDSI=0.8874229578969413, Elevation Range=733.0-783.0}, {Mean_NDSI=0.8883514220265184, Elevation Range=783.0-833.0}, {Mean_NDSI=0.8803772344809827, Elevation Range=833.0-883.0}, {Mean_NDSI=0.8739285039279434, Elevation Range=883.0-933.0}, {Mean_NDSI=0.8585775984098619, Elevation Range=933.0-983.0}, {Mean_NDSI=0.8506504840015611, Elevation Range=983.0-1033.0}, {Mean_NDSI=0.8569658582780907, Elevation Range=1033.0-1083.0}, {Mean_NDSI=0.8543784566734672, Elevation Range=1083.0-1133.0}, {Mean_NDSI=0.8533139625662252, Elevation Range=1133.0-1183.0}, {Mean_NDSI=0.832967413354006, Elevation Range=1183.0-1233.0}, {Mean_NDSI=0.8222679179786836, Elevation Range=1233.0-1283.0}, {Mean_NDSI=0.8032711686748714, Elevation Range=1283.0-1333.0}, {Mean_NDSI=0.7901882143961892, Elevation Range=1333.0-1383.0}, {Mean_NDSI=0.7994327945787398, Elevation Range=1383.0-1433.0}]",2020-06-03,NDSI,Week 23: Jun 03 – Jun 09,"{""type"":""MultiPoint"",""coordinates"":[]}"
